Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade	Lineage	Inferred Origins	Inferred Origin Confidences	Growth Score	Click to View
Nevada County_node_142560	Nevada County	6	2021-04-15	2021-05-20	20I(Alpha,V1)	B.1.1.7	Madera County	0.114286	0.0816497	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_142560","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_197140	Nevada County	8	2021-03-11	2021-04-23	21C(Epsilon)	B.1.427	Placer County	0.189189	0.0808122	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_197140","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_5103	Nevada County	4	2021-05-18	2021-06-11	21A(Delta)	AY.13	Sonoma County	0.175097	0.08	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_5103","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_143999	Nevada County	3	2021-06-07	2021-06-07	20I(Alpha,V1)	B.1.1.7	Tennessee	0.373134	0.0787296	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_143999","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_144682	Nevada County	3	2021-06-08	2021-06-09	20I(Alpha,V1)	B.1.1.7	Wisconsin	0.342857	0.0787296	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_144682","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_230001	Nevada County	11	2021-01-15	2021-01-19	20C	B.1.311	South Carolina	0.0769231	0.0771308	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_230001","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_92829	Nevada County	5	2021-04-22	2021-05-27	20B	B.1.1.318	Placer County	0.321608	0.0771058	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_92829","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_142563	Nevada County	5	2021-04-19	2021-05-05	20I(Alpha,V1)	B.1.1.7	Madera County	0.114286	0.0771058	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_142563","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_92845	Nevada County	6	2021-03-27	2021-04-05	20B	B.1.1.318	Sacramento County	0.0536398	0.0765466	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_92845","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_142565	Nevada County	5	2021-04-15	2021-04-15	20I(Alpha,V1)	B.1.1.7	Madera County	0.114286	0.0745356	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_142565","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_58937	Nevada County	10	2021-01-13	2021-01-13	20A	B.1.234	Marin County	0.0953697	0.0735413	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_58937","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_144681	Nevada County	3	2021-05-27	2021-06-01	20I(Alpha,V1)	B.1.1.7	Wisconsin	0.342857	0.0721688	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_144681","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_144679	Nevada County	3	2021-05-27	2021-06-09	20I(Alpha,V1)	B.1.1.7	Wisconsin	0.342857	0.0721688	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_144679","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_5279	Nevada County	3	2021-05-27	2021-05-27	21A(Delta)	AY.13	Sonoma County	0.179598	0.0721688	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_5279","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_209245	Nevada County	4	2021-04-26	2021-04-26	21C(Epsilon)	B.1.429	Nevada	0.26087	0.0714286	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_209245","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_118649	Nevada County	3	2021-05-18	2021-05-26	20I(Alpha,V1)	B.1.1.7	Shasta County	0.625	0.069282	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_118649","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_118532	Nevada County	4	2021-04-19	2021-04-22	20I(Alpha,V1)	B.1.1.7	Tennessee	0.357143	0.0689655	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_118532","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_207328	Nevada County	6	2021-03-05	2021-03-05	21C(Epsilon)	B.1.429	Glenn County	0.438356	0.0680414	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_207328","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_175949	Nevada County	5	2021-03-26	2021-03-27	20G	B.1.2	Washington	0.516129	0.0677596	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_175949","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_123896	Nevada County	4	2021-04-15	2021-04-15	20I(Alpha,V1)	B.1.1.7	San Luis Obispo County	0.357542	0.0666667	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_123896","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_100134	Nevada County	3	2021-05-14	2021-05-14	20I(Alpha,V1)	Q.3	San Diego County	0.32139	0.0666173	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_100134","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_69191	Nevada County	7	2021-01-25	2021-01-25	20A	B.1	Riverside County	0.113636	0.0645305	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_69191","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_92825	Nevada County	3	2021-05-03	2021-05-03	20B	B.1.1.318	Sacramento County	0.163121	0.06415	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_92825","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_173772	Nevada County	6	2021-02-08	2021-02-08	20G	B.1.2	San Joaquin County	0.304348	0.0628074	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_173772","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_198059	Nevada County	6	2021-02-06	2021-03-16	21C(Epsilon)	B.1.427	Illinois	0.358974	0.0628074	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_198059","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_208152	Nevada County	4	2021-04-01	2021-04-23	21C(Epsilon)	B.1.429	Sacramento County	0.316547	0.0625	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_208152","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_104392	Nevada County	4	2021-04-01	2021-04-23	20I(Alpha,V1)	B.1.1.7	Nevada	0.110429	0.0625	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_104392","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_103071	Nevada County	3	2021-04-30	2021-06-01	20I(Alpha,V1)	B.1.1.7	Idaho	0.319809	0.061859	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_103071","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_92817	Nevada County	4	2021-03-24	2021-05-27	20B	B.1.1.318	Sacramento County	0.163121	0.0606061	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_92817","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_184121	Nevada County	5	2021-02-17	2021-02-17	20G	B.1.2	Nevada	0.631579	0.0588439	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_184121","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_171233	Nevada County	5	2021-02-09	2021-02-18	20G	B.1.2	Amador County	0.262295	0.0573351	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_171233","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
